movieId,title,genres,average_rating,class
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.8724696356275303,средний рейтинг
2,Jumanji (1995),Adventure|Children|Fantasy,3.4018691588785046,средний рейтинг
3,Grumpier Old Men (1995),Comedy|Romance,3.1610169491525424,средний рейтинг
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.3846153846153846,средний рейтинг
5,Father of the Bride Part II (1995),Comedy,3.267857142857143,средний рейтинг
6,Heat (1995),Action|Crime|Thriller,3.8846153846153846,средний рейтинг
7,Sabrina (1995),Comedy|Romance,3.2830188679245285,средний рейтинг
8,Tom and Huck (1995),Adventure|Children,3.8,средний рейтинг
9,Sudden Death (1995),Action,3.15,средний рейтинг
10,GoldenEye (1995),Action|Adventure|Thriller,3.4508196721311477,средний рейтинг
11,"American President, The (1995)",Comedy|Drama|Romance,3.6890243902439024,средний рейтинг
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.861111111111111,средний рейтинг
13,Balto (1995),Adventure|Animation|Children,3.9375,средний рейтинг
14,Nixon (1995),Drama,3.4516129032258065,средний рейтинг
15,Cutthroat Island (1995),Action|Adventure|Romance,2.3181818181818183,средний рейтинг
16,Casino (1995),Crime|Drama,3.9488636363636362,средний рейтинг
17,Sense and Sensibility (1995),Drama|Romance,3.9244186046511627,средний рейтинг
18,Four Rooms (1995),Comedy,3.2884615384615383,средний рейтинг
19,Ace Ventura: When Nature Calls (1995),Comedy,2.597826086956522,средний рейтинг
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5384615384615383,средний рейтинг
21,Get Shorty (1995),Comedy|Crime|Thriller,3.536842105263158,средний рейтинг
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.3552631578947367,средний рейтинг
23,Assassins (1995),Action|Crime|Thriller,3.090909090909091,средний рейтинг
24,Powder (1995),Drama|Sci-Fi,3.0441176470588234,средний рейтинг
25,Leaving Las Vegas (1995),Drama|Romance,3.742574257425743,средний рейтинг
26,Othello (1995),Drama,4.1,высокий рейтинг
27,Now and Then (1995),Children|Drama,3.142857142857143,средний рейтинг
28,Persuasion (1995),Drama|Romance,4.083333333333333,высокий рейтинг
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.025,высокий рейтинг
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,4.05,высокий рейтинг
31,Dangerous Minds (1995),Drama,3.1785714285714284,средний рейтинг
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.923469387755102,средний рейтинг
34,Babe (1995),Children|Drama,3.6013513513513513,средний рейтинг
35,Carrington (1995),Drama|Romance,3.5454545454545454,средний рейтинг
36,Dead Man Walking (1995),Crime|Drama,3.9375,средний рейтинг
37,Across the Sea of Time (1995),Documentary|IMAX,2.0,низкий рейтинг
38,It Takes Two (1995),Children|Comedy,2.0,низкий рейтинг
39,Clueless (1995),Comedy|Romance,3.55,средний рейтинг
40,"Cry, the Beloved Country (1995)",Drama,3.9166666666666665,средний рейтинг
41,Richard III (1995),Drama|War,4.021739130434782,высокий рейтинг
42,Dead Presidents (1995),Action|Crime|Drama,2.3333333333333335,средний рейтинг
43,Restoration (1995),Drama,3.625,средний рейтинг
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.6973684210526314,средний рейтинг
45,To Die For (1995),Comedy|Drama|Thriller,3.5232558139534884,средний рейтинг
46,How to Make an American Quilt (1995),Drama|Romance,3.1666666666666665,средний рейтинг
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.034825870646766,высокий рейтинг
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9262295081967213,средний рейтинг
49,When Night Is Falling (1995),Drama|Romance,4.0,средний рейтинг
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.370646766169155,высокий рейтинг
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.6372549019607843,средний рейтинг
53,Lamerica (1994),Adventure|Drama,5.0,высокий рейтинг
54,"Big Green, The (1995)",Children|Comedy,3.6666666666666665,средний рейтинг
55,Georgia (1995),Drama,3.3333333333333335,средний рейтинг
